,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
39,500101042,YouBike2.0_基隆長興路口東側,15,9,大安區,2023-05-27 14:24:14,25.01727,121.54471,基隆長興路口東側,Daan Dist.,YouBike2.0_Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),6,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
41,500101092,YouBike2.0_和平實小東北側,13,4,大安區,2023-05-27 13:25:15,25.021641,121.54704,敦南街73號,Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73， Dunnan St.,9,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 13:25:15,2023-05-27
43,500101094,YouBike2.0_辛亥泰順街口,20,4,大安區,2023-05-27 14:22:14,25.02193,121.53165,辛亥泰順街口東南側,Daan Dist.,YouBike2.0_Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),14,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
44,500101095,YouBike2.0_芳和國中,28,24,大安區,2023-05-27 14:23:15,25.0189,121.55013,臥龍街170號(前),Daan Dist.,YouBike2.0_Fanghe Junior High School,No. 170， Wolong St.,4,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
45,500101097,YouBike2.0_臥龍樂業街口,36,12,大安區,2023-05-27 14:21:15,25.01856,121.55558,臥龍街234-2號,Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2， Wolong St.,23,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
47,500101099,YouBike2.0_嘉興公園,44,24,大安區,2023-05-27 14:22:14,25.021,121.55211,樂業街101巷3號西北側,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3， Ln. 101， Leye St. (Northwest),20,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
48,500101100,YouBike2.0_捷運麟光站(2號出口),35,16,大安區,2023-05-27 14:15:15,25.0181,121.55929,和平東路三段420號東北側,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420， Sec. 3， Heping E. Rd. (Northeast),19,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:15:15,2023-05-27
50,500101102,YouBike2.0_喬治工商,26,4,大安區,2023-05-27 14:22:14,25.02705,121.55551,基隆路二段166號,Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166， Sec. 2， Keelung Rd.,21,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
53,500101105,YouBike2.0_和平金山路口,45,10,大安區,2023-05-27 14:22:14,25.02669,121.52529,和平東路一段/金山南路二段西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest),35,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
56,500101109,YouBike2.0_臺灣師範大學(圖書館),40,25,大安區,2023-05-27 14:24:14,25.0266,121.52973,和平東路一段129號前,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129， Sec. 1， Heping E. Rd.,11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
57,500101110,YouBike2.0_捷運古亭站(6號出口),60,15,大安區,2023-05-27 14:22:14,25.0276,121.52217,羅斯福路二段41號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41， Sec. 2， Roosevelt Rd,45,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
59,500101113,YouBike2.0_臺北市立圖書館(總館),45,11,大安區,2023-05-27 14:23:15,25.02895,121.5379,建國南路二段/建國南路二段151巷(橋下空間),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge),33,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
61,500101115,YouBike2.0_建國和平路口西北側,44,24,大安區,2023-05-27 14:24:14,25.02606,121.53738,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),20,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
62,500101116,YouBike2.0_金華公園,35,9,大安區,2023-05-27 14:23:15,25.02984,121.53107,金華街249號對面,Daan Dist.,YouBike2.0_Jinhua Park,No. 249， Jinhua St. (Opposite),24,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
63,500101117,YouBike2.0_捷運東門站(3號出口),15,4,大安區,2023-05-27 14:24:14,25.03383,121.52815,信義路二段128號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128， Sec. 2， Xinyi Rd.,11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:24:14,2023-05-27
64,500101118,YouBike2.0_金甌女中,12,4,大安區,2023-05-27 14:17:33,25.03519,121.5245,信義路二段與杭州南路二段東南側,Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast),7,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:17:33,2023-05-27
65,500101119,YouBike2.0_金杭公園,20,10,大安區,2023-05-27 14:18:13,25.03325,121.52436,愛國東路21巷與杭州南路二段25巷口東南側,Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast),10,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:18:13,2023-05-27
66,500101120,YouBike2.0_愛國金山路口,33,20,大安區,2023-05-27 14:18:13,25.03164,121.52661,愛國東路與杭州南路二段口西南側,Daan Dist.,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Aiguo E. Rd. & Sec. 2， Hangzhou S. Rd. Intersection (Southwest),11,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:18:13,2023-05-27
73,500101128,YouBike2.0_新生南路一段119巷口,33,10,大安區,2023-05-27 14:21:15,25.04003,121.53299,新生南路一段113號,Daan Dist.,YouBike2.0_Ln. 119， Sec. 1， Xinsheng S. Rd Intersection,No. 113， Ln. 119， Sec. 1， Xinsheng S. Rd.,21,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:21:15,2023-05-27
74,500101129,YouBike2.0_幸安國小(仁愛路),16,12,大安區,2023-05-27 14:22:14,25.03753,121.53523,仁愛路三段22號,Daan Dist.,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),No. 22， Sec. 3， Ren'ai Rd.,3,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:22:14,2023-05-27
76,500101131,YouBike2.0_復興南路1段340巷口,38,29,大安區,2023-05-27 14:15:15,25.03701,121.54348,復興南路一段信義路三段147巷45弄口,Daan Dist.,YouBike2.0_Ln. 340， Sec. 1， Fuxing S. Rd Intersection,Sec. 1， Fuxing S. Rd & Aly. 45， Ln. 147， Sec. 3， Xinyi Rd Intersection.,8,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:15:15,2023-05-27
77,500101132,YouBike2.0_建國濟南路口,29,24,大安區,2023-05-27 14:23:15,25.03935,121.53828,建國南路一段/濟南路三段口(東南側),Daan Dist.,YouBike2.0_Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection,Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection. (Southeast),5,1,2023-05-27 14:24:28,2023-05-27 14:24:51,2023-05-27 14:23:15,2023-05-27
