,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
37,500101040,YouBike2.0_臺大綜合體育館停車場前,25,21,大安區,2023-05-27 15:26:16,25.0222,121.53626,臺大綜合體育館北側,Daan Dist.,YouBike2.0_NTU Sports Center Car Park,NTU Sports Center(North),4,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:26:16,2023-05-27
38,500101041,YouBike2.0_辛亥新生路口東南側,41,17,大安區,2023-05-27 15:44:14,25.02218,121.53474,辛亥新生路口東南側,Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),23,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
41,500101092,YouBike2.0_和平實小東北側,13,5,大安區,2023-05-27 15:43:15,25.021641,121.54704,敦南街73號,Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73， Dunnan St.,8,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
44,500101095,YouBike2.0_芳和國中,28,11,大安區,2023-05-27 15:40:22,25.0189,121.55013,臥龍街170號(前),Daan Dist.,YouBike2.0_Fanghe Junior High School,No. 170， Wolong St.,17,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
45,500101097,YouBike2.0_臥龍樂業街口,36,11,大安區,2023-05-27 15:39:14,25.01856,121.55558,臥龍街234-2號,Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2， Wolong St.,24,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:39:14,2023-05-27
47,500101099,YouBike2.0_嘉興公園,44,14,大安區,2023-05-27 15:42:13,25.021,121.55211,樂業街101巷3號西北側,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3， Ln. 101， Leye St. (Northwest),30,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
48,500101100,YouBike2.0_捷運麟光站(2號出口),35,15,大安區,2023-05-27 15:38:14,25.0181,121.55929,和平東路三段420號東北側,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420， Sec. 3， Heping E. Rd. (Northeast),20,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:38:14,2023-05-27
49,500101101,YouBike2.0_捷運六張犁站,64,5,大安區,2023-05-27 15:43:15,25.02397,121.55266,和平東路三段410號,Daan Dist.,YouBike2.0_MRT Liuzhangli Sta.,No. 410， Sec. 3， Heping E. Rd.,59,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
50,500101102,YouBike2.0_喬治工商,26,5,大安區,2023-05-27 15:43:15,25.02705,121.55551,基隆路二段166號,Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166， Sec. 2， Keelung Rd.,20,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
52,500101104,YouBike2.0_捷運臺電大樓站(2號出口),15,5,大安區,2023-05-27 15:43:15,25.02021,121.52942,辛亥路一段/羅斯福路三段口北側(辛亥路側),Daan Dist.,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Sec. 1， Xinhai Rd & Sec. 3， Roosevelt Rd (North),10,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
53,500101105,YouBike2.0_和平金山路口,45,14,大安區,2023-05-27 15:44:14,25.02669,121.52529,和平東路一段/金山南路二段西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest),31,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
56,500101109,YouBike2.0_臺灣師範大學(圖書館),40,14,大安區,2023-05-27 15:43:15,25.0266,121.52973,和平東路一段129號前,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129， Sec. 1， Heping E. Rd.,22,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
57,500101110,YouBike2.0_捷運古亭站(6號出口),60,28,大安區,2023-05-27 15:41:16,25.0276,121.52217,羅斯福路二段41號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41， Sec. 2， Roosevelt Rd,32,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
59,500101113,YouBike2.0_臺北市立圖書館(總館),45,15,大安區,2023-05-27 15:44:14,25.02895,121.5379,建國南路二段/建國南路二段151巷(橋下空間),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge),29,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
60,500101114,YouBike2.0_新生和平路口東北側,38,10,大安區,2023-05-27 15:42:13,25.02657,121.53515,新生南路二段與和平東路二段口東北側,Daan Dist.,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast),27,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
61,500101115,YouBike2.0_建國和平路口西北側,44,28,大安區,2023-05-27 15:44:14,25.02606,121.53738,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),16,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
62,500101116,YouBike2.0_金華公園,35,10,大安區,2023-05-27 15:42:13,25.02984,121.53107,金華街249號對面,Daan Dist.,YouBike2.0_Jinhua Park,No. 249， Jinhua St. (Opposite),23,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
63,500101117,YouBike2.0_捷運東門站(3號出口),15,6,大安區,2023-05-27 15:37:14,25.03383,121.52815,信義路二段128號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128， Sec. 2， Xinyi Rd.,9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:37:14,2023-05-27
65,500101119,YouBike2.0_金杭公園,20,11,大安區,2023-05-27 15:42:13,25.03325,121.52436,愛國東路21巷與杭州南路二段25巷口東南側,Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast),9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
66,500101120,YouBike2.0_愛國金山路口,33,10,大安區,2023-05-27 15:36:15,25.03164,121.52661,愛國東路與杭州南路二段口西南側,Daan Dist.,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Aiguo E. Rd. & Sec. 2， Hangzhou S. Rd. Intersection (Southwest),21,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:36:15,2023-05-27
70,500101125,YouBike2.0_臨江街夜市(通化街101巷口),30,5,大安區,2023-05-27 15:44:14,25.02952,121.55406,通化街111號,Daan Dist.,YouBike2.0_Linjiang St night market (Ln. 101， Tonghua St),No. 101， Tonghua St.,24,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
72,500101127,YouBike2.0_台北科技大學億光大樓,46,5,大安區,2023-05-27 15:41:16,25.04177,121.53833,忠孝東路三段81號,Daan Dist.,YouBike2.0_National Taipei University of Technology (Everlight Building),No. 81， Sec. 3， Zhongxiao E. Rd.,40,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
74,500101129,YouBike2.0_幸安國小(仁愛路),16,11,大安區,2023-05-27 15:40:22,25.03753,121.53523,仁愛路三段22號,Daan Dist.,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),No. 22， Sec. 3， Ren'ai Rd.,4,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
76,500101131,YouBike2.0_復興南路1段340巷口,38,20,大安區,2023-05-27 15:40:22,25.03701,121.54348,復興南路一段信義路三段147巷45弄口,Daan Dist.,YouBike2.0_Ln. 340， Sec. 1， Fuxing S. Rd Intersection,Sec. 1， Fuxing S. Rd & Aly. 45， Ln. 147， Sec. 3， Xinyi Rd Intersection.,17,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
77,500101132,YouBike2.0_建國濟南路口,29,20,大安區,2023-05-27 15:43:15,25.03935,121.53828,建國南路一段/濟南路三段口(東南側),Daan Dist.,YouBike2.0_Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection,Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection. (Southeast),9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
78,500101133,YouBike2.0_捷運忠孝復興站(2號出口),43,20,大安區,2023-05-27 15:42:13,25.04035,121.5436,復興南路一段/仁愛路三段123巷13弄(西北側),Daan Dist.,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2),Sec. 1， Fuxing S. R & Aly. 13， Ln. 123， Sec. 3， Ren'ai Rd. (Northwest),21,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
80,500101135,YouBike2.0_捷運大安站(2號出口),22,7,大安區,2023-05-27 15:30:44,25.03358,121.54141,信義路3段143號(前),Daan Dist.,YouBike2.0_MRT Da’an Sta (Exit 2),No. 143， Sec. 3， Xinyi Rd.,15,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:30:44,2023-05-27
82,500101137,YouBike2.0_龍門廣場,50,38,大安區,2023-05-27 15:43:15,25.04092,121.54825,敦化南路一段與敦化南路一段236巷口,Daan Dist.,YouBike2.0_Long Men Plaza,Sec. 1， Dunhua S. Rd & Ln. 236， Sec. 1， Dunhua S. Rd Intersection.,11,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
84,500101139,YouBike2.0_信義敦化路口,46,32,大安區,2023-05-27 15:40:22,25.03333,121.54977,信義路四段155號前,Daan Dist.,YouBike2.0_Sec. 4， Xinyi Rd & Sec. 1， Dunhua S. Rd Intersection,No. 155， Sec. 4， Xinyi Rd,14,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
87,500101142,YouBike2.0_八德市場,30,6,大安區,2023-05-27 15:33:14,25.04463,121.53665,市民大道三段170號,Daan Dist.,YouBike2.0_Bade Traditional Market,No. 170， Sec. 3， Civic Blvd.,23,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:33:14,2023-05-27
89,500101144,YouBike2.0_捷運大安森林公園站(2號出口),62,17,大安區,2023-05-27 15:42:13,25.03332,121.53435,捷運大安森林公園站(2號出口)西側,Daan Dist.,YouBike2.0_MRT Daan Park Sta. (Exit 2),MRT Daan Park Sta. (Exit 2) (West),45,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
93,500101148,YouBike2.0_建國南路一段279巷口,32,10,大安區,2023-05-27 15:44:14,25.03635,121.53833,建國南路一段275號,Daan Dist.,YouBike2.0_Ln. 279， Sec. 1， Jianguo S. Rd Intersection,No. 275， Sec. 1， Jianguo S. Rd.,22,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
96,500101151,YouBike2.0_大安高工,23,7,大安區,2023-05-27 15:44:14,25.03126,121.54339,復興南路二段52號(前),Daan Dist.,YouBike2.0_Daan Vocational High School,No. 52， Sec. 2， Fuxing S. Rd.,15,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
100,500101155,YouBike2.0_捷運大安森林公園站(5號出口),15,12,大安區,2023-05-27 15:44:14,25.03336,121.5364,捷運大安森林公園站(5號出口)東側,Daan Dist.,YouBike2.0_MRT Daan Park Sta. (Exit 5),MRT Daan Park Sta. (Exit 5) (East),3,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
101,500101156,YouBike2.0_信義建國路口,38,21,大安區,2023-05-27 15:43:15,25.0328,121.53746,建國南路二段與信義路三段口西南側,Daan Dist.,YouBike2.0_Xinyi Rd. & Jianguo Rd. Intersection,Sec. 2， Jianguo S Rd. & Sec. 3， Xinyi Rd. Intersection (Southwest),15,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
104,500101159,YouBike2.0_捷運忠孝復興站(5號出口),41,29,大安區,2023-05-27 15:39:14,25.04262,121.54443,復興南路一段135巷3號(對面),Daan Dist.,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 5),No. 3， Ln. 135， Sec. 1， Fuxing S. Rd. (Opposite),12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:39:14,2023-05-27
105,500101160,YouBike2.0_捷運忠孝敦化站(2號出口),17,5,大安區,2023-05-27 15:41:16,25.04153,121.5524,忠孝東路四段221號,Daan Dist.,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 2),No. 221， Sec. 4， Zhongxiao E. Rd.,12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
110,500101167,YouBike2.0_捷運國父紀念館站(2號出口),38,22,大安區,2023-05-27 15:43:15,25.04122,121.55745,忠孝東路四段/光復南路口(西南側),Daan Dist.,YouBike2.0_MRT S.Y.S Memorial Hall Stataion(Exit 2.),Sec. 4， Jhongsiao E. Rd. & Guangfu S. Rd. Intersection (Southwest),15,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
111,500101168,YouBike2.0_仁愛醫院,30,5,大安區,2023-05-27 15:44:14,25.03756,121.54587,仁愛路四段/大安路一段口(西南側),Daan Dist.,YouBike2.0_Taipei City Hospital Renai Branch,Sec. 4， Ren'ai Rd. & Sec. 1， Da'an Rd. Intersection (Southwest),25,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
112,500101169,YouBike2.0_捷運信義安和站(4號出口),30,10,大安區,2023-05-27 15:43:15,25.03305,121.55378,信義路四段252號前,Daan Dist.,YouBike2.0_MRT Xinyi Anhe Sta.(Exit.4),No. 252， Sec. 4， Sinyi Rd.,19,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
113,500101170,YouBike2.0_成功國宅,30,9,大安區,2023-05-27 15:40:22,25.02681,121.54668,和平東路三段1巷/四維路198巷口(西北側),Daan Dist.,YouBike2.0_Chengong Public Housing,Ln. 1， Sec. 3， Heping E. Rd. & Ln. 198， Sihwei Rd. Intersection (Northwest),21,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
114,500101171,YouBike2.0_仁愛延吉街口,25,6,大安區,2023-05-27 15:43:15,25.03748,121.55564,仁愛路四段376號前,Daan Dist.,YouBike2.0_Renai & Yanji Intersection,No. 376， Sec. 4， Ren'ai Rd.,19,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
120,500101177,YouBike2.0_復興南路一段126巷口,15,15,大安區,2023-05-27 15:44:14,25.04311,121.54313,復興南路一段126巷1號前,Daan Dist.,YouBike2.0_Ln. 126， Sec. 1， Fuxing S. Rd.,No. 1， Ln. 126， Sec. 1， Fuxing S. Rd.,0,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
122,500101180,YouBike2.0_仁愛路四段48巷口,11,5,大安區,2023-05-27 15:40:22,25.03609,121.54709,仁愛路四段48巷/東豐街(北側),Daan Dist.,YouBike2.0_Ln. 48， Sec. 4， Ren'ai Rd.,Ln. 48， Sec. 4， Ren'ai Rd. & Dongfeng St. Intersection (North),6,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:40:22,2023-05-27
123,500101181,YouBike2.0_捷運公館站(3號出口),90,31,大安區,2023-05-27 15:44:14,25.01551,121.53374,捷運公館站(3號出口)西側,Daan Dist.,YouBike2.0_MRT Gongguan Sta.(Exit.3),MRT Gongguan Sta.(Exit.3)(West),59,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
125,500101183,YouBike2.0_忠孝東路三段217巷口,34,20,大安區,2023-05-27 15:27:14,25.04176,121.54027,忠孝東路三段229-1號前,Daan Dist.,YouBike2.0_Ln. 217， Sec. 3， Zhongxiao E. Rd.,No. 229-1， Sec. 3， Zhongxiao E. Rd.,14,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:27:14,2023-05-27
126,500101184,YouBike2.0_新生南路三段94巷口,15,6,大安區,2023-05-27 15:42:13,25.01744,121.53334,新生南路三段94號前,Daan Dist.,YouBike2.0_Ln. 94， Sec. 3， Xinsheng S. Rd. Intersection,No. 94， Sec. 3， Xinsheng S. Rd.,8,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
127,500101185,YouBike2.0_辛亥新生路口西北側,12,6,大安區,2023-05-27 15:36:15,25.02267,121.5341,辛亥路一段/新生南路三段(西北側),Daan Dist.,YouBike2.0_Xinhai Rd. & Xinsheng S. Rd. Intersection,Sec. 1， Xinhai Rd. & Sec. 3， Xinsheng S. Rd. Intersection (Northwest),5,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:36:15,2023-05-27
128,500101186,YouBike2.0_捷運大安站(6號出口),19,7,大安區,2023-05-27 15:42:13,25.03479,121.54376,復興南路一段303號前,Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 6),No. 303， Sec. 1， Fuxing S. Rd.,12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
129,500101187,YouBike2.0_臥龍街195巷口,14,6,大安區,2023-05-27 15:21:16,25.01783,121.55224,臥龍街/臥龍街195巷(南側),Daan Dist.,YouBike2.0_Ln. 195， Wolong St.,Wolong St. / Ln. 195， Wolong St. Intersection (South),7,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:21:16,2023-05-27
132,500101190,YouBike2.0_敦親公園,20,5,大安區,2023-05-27 15:44:14,25.02347,121.54108,和平東路二段96巷8之1號(前方),Daan Dist.,YouBike2.0_Dunchin Park,No. 8-1， Ln. 96， Sec. 2， Heping E. Rd.,15,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
133,500101191,YouBike2.0_大安運動中心,27,17,大安區,2023-05-27 15:10:22,25.02054,121.54561,辛亥路三段55號前方人行道(大安運動中心),Daan Dist.,YouBike2.0_Taipei Daan Sports Center,No. 55， Sec. 3， Xinhai Rd.,9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:10:22,2023-05-27
138,500101197,YouBike2.0_忠孝東路四段49巷口,15,8,大安區,2023-05-27 15:41:16,25.04172,121.54541,忠孝東路四段55號前,Daan Dist.,YouBike2.0_Ln. 49， Sec. 4， Zhongxiao E. Rd.,No. 55， Sec. 4， Zhongxiao E. Rd.,6,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
139,500101198,YouBike2.0_市民復興路口(東南側),16,8,大安區,2023-05-27 15:36:15,25.04472,121.54401,市民大道四段/復興路一段口(東南側),Daan Dist.,YouBike2.0_Civic Blvd. & Fuxing Rd. Intersection (Southeast),Sec. 4， Civic Blvd. & Sec. 1， Fuxing S. Rd. Intersection (Southeast),8,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:36:15,2023-05-27
140,500101199,YouBike2.0_和平新生路口西南側,13,6,大安區,2023-05-27 15:44:14,25.02598,121.53454,新生南路三段2號前,Daan Dist.,YouBike2.0_Heping Rd. & Xinsheng S. Rd. Intersection (Southwest),No. 2， Sec. 3， Xinsheng S. Rd.,7,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
141,500101200,YouBike2.0_全安公園,16,7,大安區,2023-05-27 15:12:14,25.02535,121.55101,安和路二段227巷16號對側,Daan Dist.,YouBike2.0_Quanan Park,No. 16， Ln. 227， Sec. 2， Anhe Rd. (Opposite),9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:12:14,2023-05-27
142,500101201,YouBike2.0_信義路三段134巷口,19,7,大安區,2023-05-27 15:43:15,25.03333,121.53968,信義路三段/信義路三段134巷口,Daan Dist.,YouBike2.0_Ln. 134， Sec. 3， Xinyi Rd.,Sec. 3， Xinyi Rd. & Ln. 134， Sec. 3， Xinyi Rd. Intersection,12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:43:15,2023-05-27
143,500101202,YouBike2.0_仁愛敦南圓環(東南側),16,6,大安區,2023-05-27 15:44:14,25.03715,121.54936,仁愛路四段110號前,Daan Dist.,YouBike2.0_Renai Dunnan Traffic Cir (Southeast),No. 110， Sec. 4， Ren'ai Rd.,6,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
147,500101206,YouBike2.0_捷運大安站(3號出口),44,15,大安區,2023-05-27 15:39:14,25.03328,121.5425,信義路三段184號前,Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 3),No. 184， Sec. 3， Xinyi Rd.,28,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:39:14,2023-05-27
150,500101209,YouBike2.0_臺大資訊大樓,40,20,大安區,2023-05-27 14:55:23,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,YouBike2.0_NTU Information Building,Sec. 2， Xinhai Rd.(NTU Language Center),20,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 14:55:23,2023-05-27
153,500101212,YouBike2.0_捷運國父紀念館站(1號出口),25,22,大安區,2023-05-27 15:42:14,25.04205,121.55657,光復南路200巷26號東側,Daan Dist.,YouBike2.0_MRT S.Y.S Memorial Hall Sta. (Exit 1),No. 26， Ln. 200， Guangfu S. Rd. (East),1,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:14,2023-05-27
155,500101214,YouBike2.0_仁愛敦南圓環(西北側),20,7,大安區,2023-05-27 15:41:16,25.03827,121.54802,仁愛路四段85號前,Daan Dist.,YouBike2.0_Renai Dunnan Traffic Cir (Northwest),No. 85， Sec. 4， Ren'ai Rd,12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
156,500101215,YouBike2.0_立人國小,17,7,大安區,2023-05-27 15:44:14,25.02974,121.55146,安和路二段/敦化南路二段81巷(西南側),Daan Dist.,YouBike2.0_Lih Jen International Private Elementary and Middle School,Sec. 2， Anhe Rd. & Ln. 81， Sec. 2， Dunhua S. Rd. Intersection (Southwest),7,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
157,500101216,YouBike2.0_和平東路二段18巷口,24,8,大安區,2023-05-27 15:29:14,25.02268,121.53608,辛亥路二段43號前,Daan Dist.,YouBike2.0_Ln. 18， Sec. 2， Heping E. Rd.,No. 43， Sec. 2， Xinhai Rd.,16,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:29:14,2023-05-27
