,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
14,500101016,YouBike2.0_羅斯福路三段245號前,8,5,大安區,2023-05-27 15:41:16,25.01927,121.52989,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,3,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
19,500101022,YouBike2.0_捷運公館站(2號出口),99,21,大安區,2023-05-27 15:44:14,25.01491,121.53438,捷運公館站(2號出口)外側,Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),78,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
20,500101023,YouBike2.0_第二學生活動中心,27,16,大安區,2023-05-27 15:42:13,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),11,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
21,500101024,YouBike2.0_臺灣科技大學正門,30,6,大安區,2023-05-27 15:37:14,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,23,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:37:14,2023-05-27
22,500101025,YouBike2.0_臺灣科技大學側門,99,20,大安區,2023-05-27 15:42:13,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,78,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:42:13,2023-05-27
27,500101030,YouBike2.0_臺大永齡生醫工程館,34,17,大安區,2023-05-27 15:22:14,25.0136,121.54656,芳蘭路51號西北側,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51， Fanglan Rd.(Northwest),17,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:22:14,2023-05-27
28,500101031,YouBike2.0_臺大男七舍前,20,8,大安區,2023-05-27 15:44:14,25.01537,121.54698,長興街/長興街80巷口西側,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80， Changxing St. Intersection(West),12,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
30,500101033,YouBike2.0_臺大男六舍前,46,19,大安區,2023-05-27 15:27:14,25.01664,121.5452,大安區長興街31號,Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31， Changxing St.,27,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:27:14,2023-05-27
32,500101035,YouBike2.0_臺大土木研究大樓前,24,5,大安區,2023-05-27 15:32:13,25.01787,121.5476,辛亥路三段188號,Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188， Sec. 3， Xinhai Rd.,18,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:32:13,2023-05-27
35,500101038,YouBike2.0_臺大社科院圖書館前,27,6,大安區,2023-05-27 15:44:14,25.02101,121.54284,辛亥路與復興南路口西南側,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),21,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:44:14,2023-05-27
36,500101039,YouBike2.0_臺大法人語言訓練中心前,28,19,大安區,2023-05-27 15:41:16,25.02104,121.54081,臺大法人語言訓練中心北側,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),9,1,2023-05-27 15:44:29,2023-05-27 15:44:51,2023-05-27 15:41:16,2023-05-27
